startIp,endIp,country,region,city,zip,latitude,longitude,metroCode,areaCode,timeZone,ISP,organization,netspeed,domain
4.0.0.0,4.0.32.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.0.33.0,4.0.34.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,gtei.net
4.0.35.0,4.0.38.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.0.39.0,4.0.46.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.com
4.0.47.0,4.0.51.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.0.52.0,4.0.54.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,gtei.net
4.0.55.0,4.0.181.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.0.182.0,4.0.193.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,Level3.net
4.0.194.0,4.1.3.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.1.4.0,4.1.16.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,gtei.net
4.1.17.0,4.1.22.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.1.23.0,4.1.24.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,pactel.com
4.1.25.0,4.1.25.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.1.26.0,4.1.31.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,gtei.net
4.1.32.0,4.1.127.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.1.128.0,4.1.135.255,"US","MA","Somerville","",42.3919,-71.1025,506,617,America/New_York,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.1.136.0,4.1.143.255,"US","MA","Woburn","",42.4897,-71.1595,506,781,America/New_York,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.1.144.0,4.1.159.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.1.160.0,4.2.3.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,gtei.net
4.2.4.0,4.2.10.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.com
4.2.11.0,4.2.31.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,
4.2.32.0,4.2.32.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,high,gtei.net
4.2.33.0,4.2.39.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,gtei.net
4.2.40.0,4.2.40.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.2.41.0,4.2.41.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,gtei.net
4.2.42.0,4.2.71.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.2.72.0,4.2.81.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,gtei.net
4.2.82.0,4.2.103.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,bbnplanet.net
4.2.104.0,4.2.129.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,genuity.net
